"","alpha_1","alpha_2","beta_1","beta_2","delta_1","delta_2","endothelial_1","endothelial_2","exocrine","gamma","glial","immune","stellate"
"1","EWSR1-FLI1","NFE2","EWSR1-FLI1","NFE2","NFE2","Nr2f6(var.2)","FLI1","NFYA","Nr2f6(var.2)","RFX5","Creb3l2","SPI1","NFE2"
"2","RFX2","SP4","RFX2","JUND","JUND","MEF2B","ETS1","Rarg","Npas2","RFX2","ATF7","EWSR1-FLI1","JUND"
"3","RFX5","JUND","RFX5","JDP2","RFX3","MEF2D","FEV","Nr2f6(var.2)","Creb3l2","RFX3","MEF2B","RUNX1","EWSR1-FLI1"
"4","MEF2D","JDP2","MEF2B","FOSL1","RFX2","NFE2","ETV2","NFYB","POU5F1","CTCF","JUN(var.2)","BHLHE40","FOSL1"
"5","MEF2B","FOSL1::JUN","MEF2D","JUNB","EWSR1-FLI1","JDP2","ERG","EWSR1-FLI1","Rarg","MEF2D","FOSL1::JUND","Mlxip","FOSL2"
"6","RFX3","JDP2(var.2)","Nr2f6(var.2)","FOS::JUND","FOSL2","FOSL2::JUND","ERF","KLF5","POU2F2","MEF2B","FOS","MEF2B","FOSL1::JUND"
"7","BHLHE41","FOS::JUND","Rarg","FOS::JUNB","RFX5","Rarb","ETV4","MEF2B","EWSR1-FLI1","RFX4","MEF2D","Arnt","JUNB"
"8","Nr2f6(var.2)","FOSL1::JUNB","RFX3","FOSL2","FOS","Rarg","ETV1","FOXC1","Rarb","Hoxc9","JUND","IRF1","FOS::JUNB"
"9","Hnf4a","FOS","NFE2","FOS","IRF3","FOS::JUND","EWSR1-FLI1","GATA2","TEAD3","HNF1B","EWSR1-FLI1","BHLHE41","Creb5"
"10","Mlxip","FOS::JUNB","RFX4","FOSL2::JUN","FOSL2::JUNB","FOS::JUNB","ELK3","Gata1","ATF7","EWSR1-FLI1","MXI1","SPIB","FOS::JUND"
